,id,Kelp,predictions
67,88494723.jpg,0,0.6901491
68,113759805.jpg,0,0.0004209015
69,141243430.jpg,0,0.04800001
70,123798402.jpg,0,0.011240194
71,156697666.jpg,0,0.00032174683
72,123655821.jpg,0,0.0043418254
73,73469215.jpg,0,0.03346682
74,112484318.jpg,0,0.09413144
75,154779862.jpg,0,0.020963086
76,68127355.jpg,0,0.018780118
77,129779582.jpg,0,0.018465308
78,67445785.jpg,0,0.3739583
79,148598017.jpg,0,0.803653
80,106582714.jpg,0,0.0033688291
81,115857925.jpg,0,0.00597923
82,141134272.jpg,0,0.045788664
83,145810042.jpg,0,0.0006467921
84,107364165.jpg,0,0.116942726
85,145875539.jpg,0,0.0024708996
86,154779879.jpg,0,0.026028458
87,144829617.jpg,0,0.01520038
88,153926251.jpg,0,0.00583841
89,112956024.jpg,0,0.04990419
90,106534553.jpg,0,0.013451983
91,109517548.jpg,0,0.0039032637
92,151187931.jpg,0,0.010623914
93,106216420.jpg,0,0.4834616
94,105902426.jpg,0,0.29074472
95,107528995.jpg,0,0.08189253
96,134408815.jpg,0,0.00050621305
97,113635804.jpg,0,0.0035336304
98,105295716.jpg,0,0.010159467
99,124526231.jpg,0,0.070168674
100,109358476.jpg,0,0.009266192
101,88494721.jpg,0,0.5058918
102,107941207.jpg,0,0.062672
103,106842875.jpg,0,0.016984235
104,116052231.jpg,0,0.068757735
105,139611883.jpg,0,0.002936125
106,115987067.jpg,0,0.0047157276
107,163283309.jpg,0,0.0294203
108,106308964.jpg,0,0.0033243974
109,80860740.jpg,0,0.09450924
110,150519197.jpg,0,0.0021337597
111,161214312.jpg,0,0.0030291856
112,117847727.jpg,0,0.0028377157
113,161214684.jpg,0,0.009240917
114,112956020.jpg,0,0.0015943897
115,108220244.jpg,0,0.03789705
116,109183837.jpg,0,0.00387291
117,155868703.jpg,0,0.009587128
118,105717741.jpg,0,0.018977484
119,107209591.jpg,0,0.005619482
120,106110267.jpg,0,0.0067156306
121,143165941.jpg,0,0.010686959
122,95123132.jpg,0,0.0017244034
123,139941723.jpg,0,0.27396393
124,135606610.jpg,0,0.000981905
125,111167860.jpg,0,0.0009532684
126,135995387.jpg,0,0.0015679754
127,139410107.jpg,0,0.00054107065
128,73251143.jpg,0,0.000989084
129,105304081.jpg,0,0.0068038055
130,123214773.jpg,0,0.00023515824
131,145497101.jpg,0,0.032269925
132,79112657.jpg,0,0.018783543
133,145155393.jpg,0,0.045361314
134,130565907.jpg,0,0.013773377
135,112484312.jpg,1,0.9997379
136,106308968.jpg,1,0.50009555
137,144274944.jpg,1,0.029997759
138,70245789.jpg,1,0.9952226
139,148510239.jpg,1,0.71199834
140,144128398.jpg,1,0.9917937
141,73473799.jpg,1,0.36951822
142,105903250.jpg,1,0.021405526
143,108645346.jpg,1,0.99207497
144,149394815.jpg,1,0.98554856
145,105493599.jpg,1,0.14281139
146,73585290.jpg,1,0.29974902
147,149118446.jpg,1,0.018568391
148,107448954.jpg,1,0.017086174
149,140214509.jpg,1,0.6914454
150,104075260.jpg,1,0.9477887
151,88494726.jpg,1,0.12000214
152,67782921.jpg,1,0.9832423
153,73473741.jpg,1,0.4064119
154,123485139.jpg,1,0.15274324
155,147522290.jpg,1,0.9798021
156,124226912.jpg,1,0.0025462555
157,106060038.jpg,1,0.99701786
158,104175031.jpg,1,0.89918756
159,37984917.jpg,0,0.0011332835
160,38044345.jpg,0,0.21049002
161,38084722.jpg,0,0.0013544314
162,38084723.jpg,0,0.0057212124
163,38084724.jpg,0,0.056990683
